handle,public_url,title,city_guess,channel_type_guess,likely_individual_shop,parseable_score,quote_post_count,has_phone,has_address,has_website,last_seen_text_sample,status
aasss2250,https://t.me/s/aasss2250,salah,unknown,unclear,False,0,0,False,True,True,,ok_no_text
addlist,https://t.me/s/addlist,تلگرام - دوره جدید پیام رسانی,unknown,unclear,False,0,0,False,False,True,,ok_no_text
ads_almasvpn,https://t.me/s/ads_almasvpn,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ads_channel2025,https://t.me/s/ads_channel2025,تبلیغات بازرگانی,unknown,unclear,False,0,0,False,True,True,,ok_no_text
aghayebazar_admin,https://t.me/s/aghayebazar_admin,آقای بازار,unknown,unclear,False,0,0,False,True,True,,ok_no_text
aghayebazar_ads,https://t.me/s/aghayebazar_ads,تبلیغات آقای بازار مستقیم و گسترده واقعی، آقای بازار قیمت لحظه ای ارز سکه و طلا,unknown,unclear,False,11,0,False,True,True,Channel created,ok
aghayebazar_official,https://t.me/s/aghayebazar_official,آقای بازار، نرخ لحظه ای دلار، یورو، تتر، بیت کوین، ارز، سکه و طلا,unknown,aggregator,False,95,20,False,False,True,"#نرخ_ارز #سکه #طلا #دلار #بیتکوین ☸️ دلار آمريکا : 1,656,600 ریال ☸️ یورو: 1,956,200 ریال ☸️ درهم آمارات: 451,260 ریال ☸️ پوند انگلیس: 2,243,200 ریال ☸️ لیر ترکیه: 37,800 ریال ☸️ فرانک سوئیس: 2,144,100 ریال ☸️ یوان چین: 242,200 ریال ☸️ ین ژ",ok
ajenglish,https://t.me/s/ajenglish,English language,unknown,unclear,False,10,0,False,False,True,🌺 She's a liar liar 🍋 يه روده راست تو شکمش پيدا نميشه 🌺 He was born on the wrong side of the bed 🍋 حرام زاده 🌺 I wasn t born yesterday 🍋 موهامو تو اسياب سفيد نکردم 🌺 talk of devils 🍋 حلال زاده 🌺 to flatter // to kissup somebody 🍋 پاچه خواري,ok
alanchand_support,https://t.me/s/alanchand_support,Alanchand,unknown,unclear,False,0,0,False,True,True,,ok_no_text
alanchandcom,https://t.me/s/alanchandcom,قیمت دلار، طلا و خودرو - الان چند,unknown,unclear,False,15,0,True,False,True,🔗 @alanchandcom خدمات حواله برای تجار و بازرگانان 00905466534707,ok
almasvpn1,https://t.me/s/almasvpn1,کانال فروشگاه الماس vpn,unknown,aggregator,False,15,0,False,False,True,رضایت مشتری 🌹,ok
almasvpn_bot,https://t.me/s/almasvpn_bot,,unknown,unclear,False,0,0,False,False,False,,not_crawled
amin_jjj,https://t.me/s/amin_jjj,A,unknown,unclear,False,0,0,False,True,True,,ok_no_text
aqbazjgani,https://t.me/s/aqbazjgani,نرخ یاب سرای شهزاده کابل,unknown,unclear,False,0,0,False,True,True,,ok_no_text
arzchande,https://t.me/s/arzchande,ارز چنده؟ | Bonbast | بن بست,unknown,market_price_channel,False,76,14,False,False,True,"💵 دلار آمریکا : 79,750 تومان ❇️ 💶 یورو اروپا : 83,100 تومان ❇️ 💷 پوند انگلیس : 100,050 تومان ❇️ 📅 تاریخ میلادی: 2025/01/06 📅 تاریخ شمسی: 1403/10/17 ⏰ 18:01:23 @arzchande",ok
asaad_ahmed97,https://t.me/s/asaad_ahmed97,Asaad &&,unknown,unclear,False,0,0,False,True,True,,ok_no_text
asrinyousefaqa1985,https://t.me/s/asrinyousefaqa1985,Asrin Yousefaqa,unknown,unclear,False,0,0,False,True,True,,ok_no_text
az_group,https://t.me/s/az_group,AZ Group,unknown,unclear,False,0,0,False,True,True,,ok_no_text
baghdad_trading,https://t.me/s/baghdad_trading,بغداد للتداول🇮🇶,unknown,unclear,False,15,0,True,False,True,سكالبنگ 💪,ok
baghdadya_news,https://t.me/s/baghdadya_news,البغدادية,unknown,unclear,False,14,0,False,False,True,Channel created,ok
banehdollar,https://t.me/s/banehdollar,$ بانه دلار $,Tehran,dealer_network_channel,False,51,6,False,False,True,"1404/12/06 ➖ ➖ ➖ ➖ ➖ ➖ دلار بانه نقدی 164,100 🔴 فروش دلار بانه نقدی 163,600 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 105 🔴 فروش دینار عراق 🇮🇶 104 🔵 خرید @banehdollar",ok
bazari_dolaraka,https://t.me/s/bazari_dolaraka,بازاڕی دۆلارەكە,unknown,unclear,False,25,0,True,False,True,"100$=153,750",ok
bbcpersian,https://t.me/s/bbcpersian,BBCPersian,Tehran,unclear,False,12,0,False,True,True,‌ 🖊 دنیل بوش/ بی‌بی‌سی جی‌دی ونس، معاون رئیس‌جمهور آمریکا، در حالی روز یکشنبه (۲۳ فروردین/۱۲ آوریل) بدون دستیابی به گشایشی بزرگ در گفت‌وگوهای حساس برای پایان دادن به جنگ از اسلام‌آباد بازگشت که همچنان از اظهارنظر خودداری کرده است. مشخص نبود,ok
bbcshoma,https://t.me/s/bbcshoma,,unknown,unclear,False,0,0,False,False,False,,not_crawled
beeshaltoman,https://t.me/s/beeshaltoman,بيش التومان اليوم؟,unknown,unclear,False,21,0,False,False,True,متوفر تحويل المبالغ راسل @bt2day,ok
betasahm1,https://t.me/s/betasahm1,بتا سهم,Tehran,unclear,False,16,0,True,True,True,واکاوی خسارات وارده به پتروشیمی «مبین انرژی» و نقشه راه بازسازی این مجتمع عظیم پتروشیمی 🔹 طبق گزارش‌های رسمی وزارت نفت، در پی حملات اخیر، مجتمع مبین انرژی در عسلویه به عنوان قلب تپنده یوتیلیتی منطقه، هدف آسیب‌های جدی قرار گرفته است. 🔹 تحلیل,ok
